Number,VCF Env,VCF LFO,VCF KYBD,VCA Level,ENV Attack,ENV Release,ENV Decay,ENV Sustain,VCF Freq,DCO Noise,DCO Sub Osc,VCF Res,DCO PWM,LFO Rate,DCO LFO,LFO Delay,VCF Polarity,DCO PWM Mode,HPF,VCA Type,LFO Trigger,Chorus I,Square Wave,Triangle Wave,Sub Wave,Chorus II,Chorus Off
1-1,0,0,255,131,162,167,0,255,177,0,0,0,0,113,0,255,0,0,1,1,0,1,0,1,0,0,0
1-2,0,0,255,73,162,167,0,255,177,0,0,0,149,59,0,255,0,0,1,1,0,0,1,1,0,1,0
1-3,0,0,255,85,135,195,0,255,133,0,255,0,194,50,0,22,0,0,1,1,1,0,1,1,1,1,0
1-4,111,0,255,119,31,0,0,0,99,0,255,167,128,39,0,255,0,1,1,0,0,1,1,0,1,0,0
1-5,97,0,255,129,31,21,24,0,87,0,211,133,141,75,0,93,0,0,1,0,0,1,1,0,1,0,0
1-6,83,0,255,131,31,21,24,0,79,0,211,133,141,75,0,93,0,0,1,0,0,0,1,0,1,1,0
1-7,233,0,93,179,129,85,159,147,0,0,0,0,0,75,23,51,0,1,1,1,0,1,0,1,0,0,0
1-8,140,0,255,111,115,137,166,107,67,0,255,9,255,114,0,255,0,2,1,0,0,1,1,1,0,0,0
2-1,183,0,95,190,31,131,225,21,9,0,0,0,159,96,117,128,0,1,1,1,1,0,1,0,0,0,1
2-2,55,41,207,207,31,152,221,0,87,0,112,0,113,61,0,255,0,1,1,1,0,0,1,0,1,0,1
2-3,0,0,255,153,31,184,199,35,89,0,255,213,121,55,0,59,0,2,0,1,0,0,1,1,0,0,1
2-4,63,15,241,139,51,235,217,41,79,0,255,0,131,73,0,255,0,1,1,1,1,1,1,0,0,0,0
2-5,128,0,169,97,31,127,189,87,79,0,199,0,79,75,0,93,0,1,0,1,0,1,1,0,1,0,0
2-6,63,0,255,115,31,179,179,31,129,1,239,59,51,79,0,59,0,1,0,1,0,0,1,0,1,1,0
2-7,115,23,121,247,31,198,187,85,71,0,255,0,152,101,0,59,0,1,2,1,0,0,1,0,0,0,1
2-8,125,0,209,152,26,183,185,74,72,0,255,0,0,50,0,22,0,1,1,1,1,1,0,1,0,0,0
3-1,79,0,0,111,31,115,157,5,77,1,75,55,129,67,0,57,0,1,1,0,0,1,1,1,1,0,0
3-2,109,0,113,101,31,115,137,85,79,1,75,129,129,67,0,57,0,1,1,0,0,1,1,1,0,0,0
3-3,217,0,155,189,31,71,183,83,0,0,0,69,215,96,101,141,0,1,1,1,1,1,1,0,0,0,0
3-4,35,51,192,255,31,111,171,31,141,0,255,184,221,25,0,255,0,1,0,1,0,0,1,0,0,0,1
3-5,63,61,255,197,31,187,103,91,105,1,75,59,89,79,0,59,0,1,1,1,0,1,1,0,0,0,0
3-6,63,0,255,149,31,163,145,63,129,1,75,59,51,79,0,59,0,1,1,1,0,0,1,0,1,1,0
3-7,69,0,147,255,31,155,151,0,97,0,255,127,131,75,0,255,0,1,0,1,0,0,0,0,1,0,1
3-8,71,0,147,231,31,175,139,55,103,0,0,133,0,75,0,255,0,1,0,1,0,0,1,0,0,0,1
4-1,0,0,255,171,162,167,0,255,177,0,0,0,0,91,39,46,0,0,0,1,0,0,0,1,0,0,1
4-2,233,0,93,192,129,85,159,147,0,0,0,0,0,75,23,51,0,1,1,1,0,0,0,1,0,0,1
4-3,141,27,99,203,165,147,183,159,35,0,0,0,0,75,0,43,0,1,1,1,0,0,0,1,0,0,1
4-4,159,0,99,251,141,147,159,103,27,0,0,0,0,75,31,43,0,1,1,1,0,0,0,1,0,0,1
4-5,0,37,159,255,116,125,199,135,121,19,0,0,0,85,0,49,0,1,0,1,0,0,0,1,0,0,1
4-6,51,0,159,184,131,125,192,151,119,0,0,75,0,79,25,48,0,1,0,1,0,0,1,0,0,0,1
4-7,51,0,123,255,123,119,192,147,113,0,0,127,175,79,31,55,0,1,3,1,0,0,1,0,0,0,1
4-8,0,25,123,255,127,119,192,147,123,0,0,175,176,69,35,39,0,1,3,1,0,0,1,0,0,0,1
5-1,131,31,127,223,128,0,159,255,21,0,0,195,0,91,67,149,0,1,0,1,1,0,0,1,0,0,1
5-2,115,0,147,173,141,105,134,107,67,0,0,182,0,91,69,149,0,1,1,0,1,0,0,1,0,0,1
5-3,71,0,39,71,31,103,207,41,149,0,0,37,221,91,0,151,0,2,1,1,1,1,1,1,0,0,0
5-4,187,0,127,149,31,25,239,128,7,0,0,151,0,96,101,141,0,1,1,0,1,1,1,0,0,0,0
5-5,135,0,255,223,31,0,135,31,57,0,255,41,0,25,0,255,0,1,0,1,0,0,0,0,1,0,1
5-6,150,0,209,118,26,188,185,74,36,0,255,0,0,50,0,22,0,2,1,1,1,1,0,0,1,0,0
5-7,71,0,255,148,128,99,0,255,69,0,255,31,131,96,37,159,0,1,1,1,1,0,0,0,1,0,1
5-8,0,0,255,31,135,155,0,255,218,0,255,0,206,50,0,22,0,0,1,1,1,0,1,0,1,1,0
6-1,128,31,169,119,31,119,95,119,59,0,199,0,173,67,0,57,0,1,1,0,0,0,1,0,1,1,0
6-2,111,0,169,176,31,185,181,0,175,0,189,0,255,67,31,57,1,1,1,1,0,1,1,1,1,0,0
6-3,99,0,14,97,203,201,185,31,169,0,171,61,79,79,0,7,1,0,1,0,0,1,0,1,1,0,0
6-4,135,0,255,159,31,240,225,217,169,0,0,128,0,75,39,255,0,2,1,1,0,1,0,1,0,0,0
6-5,128,0,111,51,195,0,177,0,199,0,255,157,157,51,0,128,1,1,1,0,0,1,1,1,1,0,0
6-6,137,0,255,71,31,139,227,0,169,0,255,181,115,95,39,47,1,1,1,0,0,1,1,0,1,0,0
6-7,151,45,0,129,31,255,255,0,216,0,255,181,223,95,39,27,1,2,1,1,0,0,1,1,0,0,1
6-8,149,0,255,51,255,255,255,255,45,0,215,233,157,51,0,128,0,1,1,1,0,1,1,1,0,0,0
7-1,20,0,255,255,26,155,130,0,101,254,0,254,0,24,0,255,0,2,0,1,0,0,0,0,0,0,1
7-2,78,0,255,255,26,155,130,0,134,0,0,254,0,24,0,255,1,2,1,1,0,0,0,0,0,0,1
7-3,23,21,255,224,154,37,0,255,83,68,0,255,0,83,0,71,0,1,0,1,0,0,0,0,0,0,1
7-4,0,22,255,255,31,211,167,137,83,0,0,255,0,79,0,87,0,2,1,1,0,0,0,0,0,0,1
7-5,184,95,255,92,31,231,192,255,0,41,0,255,0,119,0,255,0,1,1,1,0,1,0,0,0,0,0
7-6,99,0,255,123,31,255,255,0,128,41,0,255,0,119,0,255,1,1,1,1,0,1,0,0,0,0,0
7-7,0,155,255,200,26,234,162,255,145,255,255,0,0,21,0,255,0,2,1,1,0,0,0,0,0,0,1
7-8,103,0,255,221,31,192,179,0,35,0,0,255,0,25,0,255,0,2,1,1,1,0,0,0,0,0,1
