name,LFO Rate,LFO Delay,DCO LFO,DCO PWM,DCO Sub,DCO Noise,HPF,VCF Freq,VCF Res,VCF Env,VCF LFO,VCF Kbd,Volume,Attack,Decay,Sustain,Release,Pulse,Saw,Sub Sw,Chorus Off,Chorus I,Chorus II,Octave,LFO Mode,PWM Mode,VCF Env Inv,VCA Mode,ADSR Mode
Strings 1,[76],[0],[0],[0],[0],[0],[0],[89],[0],[0],[0],[127],[64],[51],[0],[127],[57],[0],[1],[0],[0],[1],[0],[1],[0],[0],[0],[0],[0]
Strings 2,[51],[0],[0],[76],[0],[0],[0],[89],[0],[0],[0],[127],[38],[51],[0],[127],[57],[1],[1],[0],[0],[0],[1],[1],[0],[0],[0],[0],[0]
Strings 3,[38],[102],[0],[89],[127],[0],[0],[64],[0],[0],[0],[127],[38],[38],[0],[127],[76],[1],[1],[1],[0],[0],[1],[1],[1],[0],[0],[0],[0]
Organ 1,[25],[102],[0],[64],[127],[0],[0],[51],[76],[57],[0],[127],[64],[0],[0],[0],[0],[1],[0],[1],[1],[0],[0],[1],[0],[1],[0],[1],[0]
Organ 2,[64],[51],[0],[70],[102],[0],[0],[44],[70],[51],[0],[127],[64],[0],[13],[0],[13],[1],[0],[1],[1],[0],[0],[1],[0],[0],[0],[1],[0]
Organ 3,[64],[51],[0],[70],[102],[0],[0],[44],[70],[44],[0],[127],[64],[0],[13],[0],[13],[1],[0],[1],[0],[0],[1],[2],[0],[0],[0],[1],[0]
Brass,[64],[83],[19],[0],[0],[0],[0],[0],[0],[108],[0],[51],[89],[32],[51],[76],[25],[0],[1],[0],[1],[0],[0],[1],[0],[1],[0],[0],[0]
Phase Brass,[76],[0],[0],[127],[127],[0],[0],[38],[13],[70],[0],[127],[51],[25],[51],[51],[38],[1],[1],[0],[1],[0],[0],[1],[0],[2],[0],[1],[0]
Piano 1,[76],[38],[57],[76],[0],[0],[0],[13],[0],[89],[0],[51],[89],[0],[102],[19],[38],[1],[0],[0],[1],[0],[0],[1],[1],[1],[0],[0],[0]
Piano 2,[51],[0],[0],[51],[57],[0],[0],[44],[0],[32],[25],[102],[102],[0],[95],[0],[44],[1],[0],[1],[1],[0],[0],[2],[0],[1],[0],[0],[0]
Celesta,[44],[76],[0],[64],[127],[0],[1],[44],[102],[0],[0],[127],[76],[0],[83],[25],[70],[1],[1],[0],[1],[0],[0],[1],[0],[2],[0],[0],[0]
Mellow Piano,[64],[0],[0],[64],[127],[0],[0],[38],[0],[32],[13],[114],[89],[13],[95],[25],[108],[1],[0],[0],[1],[0],[0],[1],[1],[1],[0],[0],[0]
Harpsichord 1,[64],[51],[0],[38],[89],[0],[1],[38],[0],[64],[0],[89],[51],[0],[76],[44],[32],[1],[0],[1],[1],[0],[0],[2],[0],[1],[0],[0],[0]
Harpsichord 2,[70],[76],[0],[25],[108],[0],[1],[64],[32],[38],[0],[127],[64],[0],[64],[19],[64],[1],[0],[1],[0],[0],[1],[2],[0],[1],[0],[0],[0]
Guitar,[76],[76],[0],[76],[127],[0],[2],[38],[0],[57],[19],[64],[114],[0],[70],[44],[83],[1],[0],[0],[1],[0],[0],[1],[0],[1],[0],[0],[0]
Synthesizer Harp,[38],[102],[0],[0],[127],[0],[0],[38],[0],[64],[0],[102],[76],[0],[70],[38],[64],[0],[1],[0],[0],[0],[1],[1],[1],[1],[0],[0],[0]
Bass 1,[64],[76],[0],[64],[38],[0],[0],[38],[32],[44],[0],[0],[64],[0],[51],[13],[32],[1],[1],[1],[0],[1],[0],[0],[0],[1],[0],[1],[0]
Bass 2,[64],[76],[0],[64],[38],[0],[0],[38],[64],[57],[0],[64],[51],[0],[38],[44],[32],[1],[1],[0],[0],[1],[0],[0],[0],[1],[0],[1],[0]
Clavichord 1,[76],[32],[51],[102],[0],[0],[0],[0],[38],[102],[0],[76],[89],[0],[64],[44],[19],[1],[0],[0],[0],[1],[0],[0],[1],[1],[0],[0],[0]
Clavichord 2,[13],[0],[0],[102],[127],[0],[1],[70],[89],[25],[32],[89],[127],[0],[57],[25],[25],[1],[0],[0],[1],[0],[0],[0],[0],[1],[0],[0],[0]
Pizzicato Sound 1,[64],[76],[0],[44],[38],[0],[0],[57],[38],[38],[38],[127],[102],[0],[25],[44],[70],[1],[0],[0],[0],[1],[0],[1],[0],[1],[0],[0],[0]
Pizzicato Sound 2,[64],[76],[0],[25],[38],[0],[0],[64],[38],[38],[0],[127],[76],[0],[38],[38],[51],[1],[0],[1],[0],[0],[0],[2],[0],[1],[0],[0],[0]
Xylophone,[64],[0],[0],[64],[127],[0],[1],[51],[64],[38],[0],[76],[127],[0],[44],[0],[44],[0],[0],[1],[1],[0],[0],[2],[0],[1],[0],[0],[0]
Glockenspiel,[64],[0],[0],[0],[0],[0],[1],[57],[64],[38],[0],[76],[114],[0],[38],[32],[64],[1],[0],[0],[1],[0],[0],[2],[0],[1],[0],[0],[0]
Violine,[76],[76],[25],[0],[0],[0],[1],[83],[0],[0],[0],[127],[89],[51],[0],[127],[51],[0],[1],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0]
Trumpet,[32],[83],[19],[0],[0],[0],[0],[0],[0],[108],[0],[51],[89],[32],[51],[76],[25],[0],[1],[0],[1],[0],[0],[1],[0],[1],[0],[0],[0]
Horn,[32],[89],[0],[0],[0],[0],[0],[25],[0],[70],[25],[51],[89],[51],[64],[76],[38],[0],[1],[0],[1],[0],[0],[1],[0],[1],[0],[0],[0]
Tuba,[32],[89],[19],[0],[0],[0],[0],[19],[0],[76],[0],[51],[127],[38],[51],[51],[38],[0],[1],[0],[1],[0],[0],[0],[0],[1],[0],[0],[0]
Flute,[70],[64],[0],[0],[0],[19],[1],[64],[0],[0],[25],[76],[127],[25],[76],[64],[32],[0],[1],[0],[1],[0],[0],[2],[0],[1],[0],[0],[0]
Clarinet,[64],[83],[19],[0],[0],[0],[1],[64],[38],[32],[0],[76],[76],[32],[76],[76],[32],[1],[0],[0],[1],[0],[0],[1],[0],[1],[0],[0],[0]
Oboe,[70],[83],[19],[83],[0],[0],[3],[57],[64],[32],[0],[64],[127],[25],[76],[76],[32],[1],[0],[0],[1],[0],[0],[1],[0],[1],[0],[0],[0]
English Horn,[64],[89],[25],[83],[0],[0],[3],[64],[89],[0],[19],[64],[127],[25],[76],[76],[32],[1],[0],[0],[1],[0],[0],[0],[0],[1],[0],[0],[0]
Funny Cat,[76],[25],[38],[0],[0],[0],[1],[19],[95],[64],[25],[64],[102],[32],[51],[127],[13],[0],[1],[0],[1],[0],[0],[1],[1],[1],[0],[0],[0]
Wah Brass,[76],[25],[38],[0],[0],[0],[0],[38],[89],[57],[0],[76],[89],[38],[38],[51],[25],[0],[1],[0],[1],[0],[0],[1],[1],[1],[0],[1],[0]
Phase Combination,[76],[25],[0],[102],[0],[0],[0],[76],[25],[38],[0],[25],[38],[0],[89],[25],[25],[1],[1],[0],[0],[1],[0],[1],[1],[1],[0],[0],[0]
Reed 1,[76],[25],[51],[0],[0],[0],[0],[13],[76],[89],[0],[64],[76],[0],[108],[64],[13],[1],[0],[0],[0],[1],[0],[1],[1],[1],[0],[1],[0]
Popcorn,[0],[0],[0],[0],[127],[0],[1],[32],[25],[70],[0],[127],[102],[0],[38],[25],[0],[0],[0],[1],[1],[0],[0],[2],[0],[1],[0],[0],[0]
Reed 2,[38],[102],[0],[0],[127],[0],[0],[25],[0],[76],[0],[102],[64],[0],[70],[38],[76],[0],[0],[1],[0],[1],[0],[2],[1],[1],[0],[0],[0]
Reed 3,[76],[25],[25],[64],[127],[0],[0],[38],[25],[38],[0],[127],[76],[32],[0],[127],[25],[0],[0],[1],[1],[0],[0],[2],[1],[1],[0],[0],[0]
PWM Chorus,[38],[0],[0],[64],[127],[0],[0],[102],[0],[0],[0],[127],[25],[38],[0],[127],[51],[1],[0],[1],[0],[0],[1],[1],[1],[0],[0],[0],[0]
Synthesizer Organ,[57],[76],[0],[83],[95],[0],[0],[32],[0],[64],[25],[89],[64],[0],[25],[64],[32],[1],[0],[1],[0],[0],[1],[1],[0],[1],[0],[1],[0]
Effect Sound 1,[57],[76],[19],[127],[89],[0],[0],[83],[0],[57],[0],[89],[89],[0],[64],[0],[70],[1],[1],[1],[0],[0],[1],[2],[0],[1],[1],[0],[0]
Effect Sound 2,[70],[114],[0],[38],[83],[0],[0],[83],[38],[51],[0],[13],[51],[83],[70],[25],[83],[0],[1],[1],[0],[0],[1],[1],[0],[0],[1],[1],[0]
Space Harp,[70],[0],[25],[0],[0],[0],[0],[83],[64],[70],[0],[127],[76],[0],[102],[102],[114],[0],[1],[0],[0],[0],[1],[1],[0],[2],[0],[0],[0]
Funk,[38],[32],[0],[76],[127],[0],[0],[95],[76],[64],[0],[57],[25],[76],[64],[0],[0],[1],[1],[1],[0],[0],[1],[1],[0],[1],[1],[1],[0]
Space Sound 1,[76],[89],[25],[57],[127],[0],[0],[83],[89],[70],[0],[127],[38],[0],[102],[0],[38],[1],[0],[1],[0],[0],[1],[1],[0],[1],[1],[1],[0]
Mysterious Invention,[76],[102],[25],[102],[127],[0],[0],[102],[89],[76],[32],[0],[64],[0],[127],[0],[127],[1],[1],[0],[1],[0],[0],[1],[0],[2],[1],[0],[0]
Space Sound 2,[38],[38],[0],[76],[102],[0],[0],[25],[108],[76],[0],[127],[25],[127],[127],[127],[127],[1],[1],[0],[0],[0],[1],[1],[0],[1],[0],[0],[0]
Percussive Sound 1,[0],[0],[0],[0],[0],[127],[1],[51],[127],[19],[0],[127],[127],[0],[38],[0],[51],[0],[0],[0],[1],[0],[0],[2],[0],[2],[0],[0],[0]
Percussive Sound 2,[0],[0],[0],[0],[0],[0],[1],[64],[127],[44],[0],[127],[127],[0],[38],[0],[51],[0],[0],[0],[1],[0],[0],[1],[0],[2],[1],[0],[0]
Whistle,[70],[64],[0],[0],[0],[25],[1],[44],[127],[19],[25],[127],[102],[38],[0],[127],[13],[0],[0],[0],[1],[0],[0],[2],[0],[1],[0],[0],[0]
Effect Sound 3,[70],[51],[0],[0],[0],[0],[1],[44],[127],[0],[25],[127],[127],[0],[51],[70],[89],[0],[0],[0],[1],[0],[0],[1],[0],[2],[0],[0],[0]
UFO,[76],[0],[0],[0],[0],[25],[0],[0],[127],[89],[51],[127],[51],[0],[76],[127],[102],[0],[0],[0],[0],[1],[0],[2],[0],[1],[0],[0],[0]
Space Sound 3,[76],[0],[0],[0],[0],[25],[0],[64],[127],[51],[0],[127],[64],[0],[127],[0],[102],[0],[0],[0],[0],[1],[0],[2],[0],[1],[1],[0],[0]
Surf,[0],[0],[0],[0],[127],[127],[0],[76],[0],[0],[76],[127],[114],[0],[51],[127],[102],[0],[0],[0],[1],[0],[0],[1],[0],[2],[0],[0],[0]
Synthesizer Drum,[0],[0],[0],[0],[0],[0],[0],[25],[127],[51],[0],[127],[76],[0],[64],[0],[76],[0],[0],[0],[1],[0],[0],[1],[1],[2],[0],[0],[0]
